14181	9560	-791	16446	-19149	-501	-9448	15101	631	18005
-16635	-9742	-16986	19438	1816	11309	14074	5925	8609	-4461
-490	-3647	-12874	-4438	2840	7916	-3326	-18713	-18263	9856
7229	-14275	-6632	-9555	8130	7928	-9148	13436	-10558	9781
11359	13360	3783	-16189	-6875	12849	-16986	-13678	-13692	-5050
17007	3691	-4328	9915	18807	8590	-8916	8279	-5473	10770
-12833	-347	-9822	-4527	14078	-18941	-13279	-808	7517	2917
17143	6100	1886	-12488	19689	2409	-17230	-17421	-14662	2585
-11275	-5911	-7430	-11266	6613	-268	13953	-8647	-7717	-16378
11866	-3383	-489	8802	1648	2293	-18620	-1278	6560	6920
-11348	-4899	17603	18193	1548	-11385	-3796	5169	2258	6960
2891	9812	-10810	13706	-1709	-13582	-18594	13682	1770	-2785
-10880	-17026	-9888	3998	-7356	11136	-10109	-12825	17325	-4120
-9710	4789	-9943	-892	-17584	18447	-4438	11668	19563	2819
18432	1273	9716	-16445	17724	17451	-1088	-7862	-4290	17016
-5961	-2024	-1178	897	-14819	-1600	-8181	-8088	-13670	-11327
11776	7989	-6893	-9160	16957	18070	-17998	19045	19062	5505
8353	18640	6182	-13477	2765	-4698	-1360	-19431	13562	14080
-330	11003	-2890	-15093	1484	16466	12590	14703	-12564	2698
7472	-16143	-3428	15072	-5183	1609	10098	5393	-10172	-16215
-7991	-8830	-983	-197	-10523	-12358	9364	15125	-18208	-281
8169	-10020	-17609	-9899	17229	1100	6167	-17595	1166	2631
16414	15287	3406	-14925	-2377	-17377	-19312	-8786	5102	250
3042	2011	17655	-1286	-12315	9530	-14505	-18790	-11687	-15626
-11384	-7157	-11852	-11017	9658	14476	19950	-18210	2227	19746
