5910	14544	-1465	-12043	-3830	7753	4137	4177	3685	8180	-1270	-5420	7103	-14945	4806	9319
11014	-9928	-19949	10166	-4724	-9680	-18065	8944	10029	8688	-1536	19468	-2872	12384	-13762	-5153
2972	-7906	-16086	12688	-3241	-2648	-19764	8911	15847	-5904	14276	17828	1243	3884	-10556	-2539
-16637	13864	2994	15622	-6234	-1172	12853	-14051	-6522	-9172	8769	18878	4154	-10280	-12267	-4121
16186	8955	9977	6526	8155	18657	15141	-1300	-14357	5050	7084	18787	8686	19937	-4405	-17172
16733	4245	12419	17676	12656	-14254	11237	-14889	18081	-18851	-2314	4698	1401	14261	12172	-15385
-18370	11180	-6489	-161	-16227	2250	-17265	12337	4188	8425	17604	4505	11132	4578	5587	15167
1870	14525	-909	16740	-15548	-15780	17993	-832	-10199	5823	-18961	-5041	6208	-17704	-9321	-6105
-9776	-4429	-491	5762	19061	13451	2185	-6051	11056	14352	12200	-14015	-11688	-13905	-6775	-6019
-12843	-15406	-19449	16585	-6808	-16899	17728	-11139	-15355	12170	-19910	796	-10638	-2809	13244	520
4229	-889	-18167	-8448	-18443	4599	1134	-15810	8766	6723	10964	3795	-1020	3768	-16851	2521
3037	-9690	-11164	-105	7168	-9383	1181	-19656	6945	3641	-9529	942	1871	-2703	-7396	-1637
-16995	-11691	11687	6526	-5519	693	6778	-619	-11379	-1354	1231	7434	18380	-4882	2154	14167
5580	1241	8038	-18902	14442	2595	11669	-5173	12639	-3383	-14123	582	11628	-16222	-14569	-1830
10642	735	12793	-2874	10185	3089	5497	8050	-14425	8718	-14107	-230	-3245	12248	889	13679
-6716	6661	-3108	1264	5395	13150	12642	-7079	9268	16977	16068	-5364	-9278	1102	-17395	-17766
7500	18977	-2645	6677	17543	-16130	-8082	-2817	-11140	10141	3547	14072	18040	19989	-12346	10748
-5301	14800	-18823	-5579	-11538	15486	18328	-17018	13423	-16605	-19457	-12916	-14749	17019	-16703	19099
11623	9704	-2066	-2400	-2604	5269	17010	-15854	-11568	15337	-88	9620	14523	-17316	15615	-7424
-15818	5219	-5172	6173	-13944	3413	-17886	13408	12456	-8772	3273	-12093	-19331	-6666	8840	-14766
963	834	-4119	-3159	9545	16702	243	11616	2312	578	14848	11575	-13607	-2419	-17025	8775
-4399	8435	107	-9189	-18268	2564	18477	11896	-10145	-571	-16319	939	-2035	-570	-4838	12128
-8314	-15938	9376	-680	12106	1072	-12465	15925	-4183	-6805	-14332	14531	15398	3421	9943	-11201
-14772	-17962	-12008	18597	13576	-68	2243	6430	11325	-18576	-6943	3377	-14721	-17739	8135	9650
-17342	5139	6683	-4989	19430	-15316	2905	-2227	-5758	-1536	-4213	8958	-6260	18270	-7649	6949
-414	9104	-9617	-18886	7971	-2085	16650	-7733	-9137	7450	-6772	18749	-2198	492	-815	10953
-8557	10162	7930	-5907	17541	-4867	14932	-17594	-16373	5323	-19520	-9964	12204	-9316	10284	58
16766	17772	-11695	18768	1394	12759	-9114	-15576	19038	4214	12267	-9548	-11611	-11448	10013	15896
-2693	-6559	-5647	-275	18087	12946	9268	7655	5845	180	-13807	-202	13546	-7888	5400	14949
-2488	-13454	1549	-2883	-3528	-7590	-8149	-8803	69	-1689	196	18818	-19985	9627	-19708	14447
19711	-2032	1468	9072	15915	-1615	-12357	8633	11512	235	-16463	3882	-13815	-1223	-11997	13560
14021	3168	-9797	-10959	-16161	13658	12981	9179	6807	12244	9996	-15205	5957	9694	-13347	13456
1781	-1115	-6546	-8338	11430	-7037	17681	3921	3269	15422	19187	-6930	-18927	-14886	13594	-4075
-18952	-7282	5848	16201	-10460	9926	-18477	8965	-18164	15023	-17846	10351	-3270	2678	11299	-16680
-19615	-15407	19075	2261	12557	-19345	16780	7347	-13048	6718	-10039	8677	4287	12833	17819	10149
6783	-4704	-18478	-11184	19566	8371	-11537	4511	-8678	2033	10805	7100	-529	6904	7696	12561
5524	19421	-2716	-10148	18312	-16686	15493	2204	-15084	-5361	5714	1853	-3922	-14842	-5966	17138
15872	17811	439	-16132	19790	-7694	-2610	-5521	-9443	11205	-14801	3174	14712	-7396	-17986	-16032
-12078	618	-19539	-530	700	-2525	3104	-17605	16040	1405	13272	-10761	13352	-13953	-1963	11256
