10746	-19643	-12703	-8755	-19611	-9879	-18020	4719	3823	19163	-17788	313	11369	17555
-13386	-15774	-10162	-12311	-4862	-16975	-5392	-15337	-12380	9473	13488	18803	-16176	-7830
1816	5117	-12199	1858	-5686	-7516	-3750	-4228	11494	-7179	-8427	12681	-19487	-8711
11811	8469	-19446	-6041	8640	6631	3515	-1891	-19096	-1544	-12791	19791	17032	18257
-7462	10385	-16807	-8640	8185	13694	-5032	-16141	4845	16665	7958	16594	8591	4307
-10126	1898	6560	3800	-5797	-10995	2326	-19904	-5793	-15225	13628	5059	18297	14757
1216	-3107	-3572	-11774	3387	-4198	-8315	-74	16820	-11595	15946	19725	-14255	-8760
-4184	-17227	12742	-11719	17939	8513	-8537	-18362	15411	-19702	-1818	19902	18925	19147
8273	3719	-6140	785	16213	-14332	7325	-7724	5189	8310	-6487	15790	15844	-19828
10942	12447	-15911	2489	-1339	-7998	18762	17812	-2526	17519	15821	-18586	12055	17887
-15065	8476	16641	18613	-18700	-12593	-18731	-5114	-8008	-17154	8350	13902	14163	16237
16264	-12014	3207	3397	-620	-18203	12633	-17999	-18503	-17591	19633	1937	14147	-7016
16167	-8976	-8129	-3937	3883	-19598	-170	14616	2013	10488	-2325	-8724	-7945	15969
-6683	-1052	5082	10865	14029	-7433	9408	17757	-18159	-1389	14334	-16475	10394	-7619
