10737	8661	6199	-15946	-10971	16902	-8407	-10981	10610	-17747	845	-12070	10141	15749	5338	-2226
-13534	3970	11998	-1837	7679	-4617	4925	8597	2333	17106	-1532	18848	16683	-11090	18965	11479
-1187	15528	1996	-9878	-8375	-19794	16087	-7794	-2080	-8293	-2229	-2247	7248	5015	-3855	18340
13151	-17099	-11457	-7564	10673	-3166	-989	-3626	5527	17685	-18291	10860	-16839	5682	18065	-6838
17445	689	-13482	6239	153	-11173	-11099	-13979	16602	-12721	14152	19696	9799	17159	-17434	-5671
-2488	-19791	18516	2907	-13400	10631	-10611	-13967	1937	1160	11744	10482	2160	-8983	17383	-8628
-5613	-6817	9417	17458	-19914	1252	-16926	8991	-16731	5047	17328	3709	-7039	5466	-9307	6723
402	-7386	6060	-2911	-19448	-3250	4063	5177	12198	-2810	-5472	17525	7125	-16659	19504	-12293
-7406	7785	9467	-12561	-1021	-7534	19789	8186	848	17442	17090	1934	8030	-11510	-13307	-2790
13203	18318	5879	3390	-16849	-28	16821	-5245	-1019	-15769	6234	-11870	3084	-7884	-4349	-2053
13520	-18348	-16106	-2953	-14717	-19086	9813	-16666	-5918	19887	-2338	17513	5983	-585	-16283	14063
-7266	-5658	-14851	7740	3122	16564	-6148	-637	1533	16907	-8496	-11434	595	6990	14848	6511
5793	-6447	-9657	14709	19519	-18237	8783	-14814	-11951	-587	-2245	18648	2303	-14110	9560	951
-1266	-4319	14711	-16395	-13967	18466	-17485	-1479	19092	464	-6764	9086	-6991	-11533	-5857	-19566
12749	-11027	5706	8317	10198	7307	13858	-14082	651	-17114	13701	11207	-6283	1201	19375	18756
-4284	-7144	4498	-6548	14189	19263	-393	-9962	-3904	-3142	364	-14663	-13717	3353	-17136	-3532
-1842	-4169	4215	10743	10450	-8894	8520	5126	-16958	8573	-1453	-16320	11805	7081	-410	-6075
-9516	-965	-11608	-1937	4193	-7115	-11047	5826	2744	11451	-257	16711	2006	-5229	1295	-14955
-7494	7972	8380	18227	-3321	-8936	-17557	3044	-18347	-10587	7620	-19897	-10341	-9655	14469	-64
3857	6030	19654	-8832	-13244	12092	-1296	374	-13780	10305	-9249	76	8164	15029	-11012	4617
702	-18070	-19314	3135	-6626	7267	-2390	-8035	18335	-2402	-18406	-13442	488	6602	7643	-2676
-11022	-14057	-579	-15927	12622	-13540	-14810	-14177	-13995	19796	7707	-12804	-8210	3779	-3106	-10806
19104	9027	2919	-13776	5663	-6600	-8831	-8381	10376	-12139	-2347	14235	10041	-860	-17997	-7592
