-4025	12322	-2949	12633	-14982	-19496	-14192
-13658	18142	-10120	13739	-9641	-1568	6016
3720	-3588	6069	-12099	-6627	5086	-6409
6988	-17313	-13273	-13524	-6752	-2447	-18776
19924	7410	-2893	-12830	11820	14849	-17701
-1650	-6785	-1678	-18419	5485	6272	-1127
-9393	-7966	-15159	11454	2025	1449	-3369
-536	14426	-7794	-11387	-6085	7193	8554
981	-9691	-5543	-1500	17717	-2797	-8165
-8391	-16342	10382	-5043	13771	4787	-16811
15829	18357	-1963	5300	-9447	-7555	-664
8620	10612	-1265	-739	8922	-16766	5669
5316	925	-8438	17377	19495	15951	13478
-335	-7376	14298	-4137	-14486	16605	-11671
-7560	16319	19816	15205	9775	-14991	10983
1486	301	19557	-2861	-4007	-18538	5341
-11838	-8031	-6570	-12868	19113	7120	4214
14842	-1645	-9557	-16415	179	2494	-17431
4877	-3381	13250	10764	11946	-8519	17930
13784	-1568	-14261	-2328	-2430	-8713	19402
14520	13391	14117	-7146	-12819	3837	11600
7765	-1340	-9220	3217	11986	-11767	-5898
8107	6385	-9122	15243	-19364	9785	524
-714	-18297	-13193	18331	834	-6148	-8029
