-6983	-3616	-7904	1995	1158	-1639	14470	16210	18473	3273	3461	-17748	5171	-18535	-8950	-1829
-14947	9171	-12681	-9318	8924	-11004	-18076	-6658	-6773	-12569	-17896	-3972	-11306	-4987	-12763	4038
15602	6544	4553	-1391	11874	1389	12278	483	-6474	10437	-12650	-437	-7057	-13458	14134	8293
2982	-8784	2581	18342	-12671	10052	4797	12031	12092	5332	-13794	-8089	-4679	5303	3537	6588
8646	-5714	-18673	-15917	-17625	-17905	18975	18815	-2009	12411	3948	-18822	-8506	18153	-1468	-4963
6675	-8	-860	11459	-6793	-3819	-13794	14543	-10425	-2690	14028	1584	-13381	3421	1978	-15934
1353	-15023	-7518	-6646	-9527	-6993	-14288	14945	2018	-11926	-10161	-2601	7109	11438	-15098	17602
-575	17373	18986	6115	12185	1585	8541	18707	-17685	3210	-4074	569	8325	16307	-3352	-1520
5487	-14665	-19829	17644	4064	-2990	-7864	18489	-3876	-11235	12133	590	-13638	-14643	9797	-11811
-13743	-14252	-19930	-1109	-19299	-11338	-7326	-11664	19351	17766	10910	12851	-8211	-10032	8061	-4328
-619	9207	-1287	9643	6848	-17179	-2743	18323	9161	-12825	-7462	1841	19748	-13861	-7903	-3764
14865	-16270	13070	8297	9434	-16445	-5054	16921	-10808	-5330	-4188	-6805	-10721	-19165	761	-13086
17688	-1754	-16416	10581	-14344	-6871	2126	-10365	-8767	-1521	2211	-19887	-7919	10709	19949	3689
12513	8059	19716	-6087	-19318	11799	-13975	-830	16877	-9766	-10141	-19220	-18711	9385	-13247	-969
-308	-11238	-10085	-14391	12576	-1886	-1499	2225	-3824	13312	-6247	-6820	-17186	-16450	-410	-1895
-14876	-14822	5008	18590	-18672	-16229	16192	-12030	-14223	16348	8919	-17744	10897	-10540	14298	-19217
-9903	15219	10898	-4304	-8916	-6623	-17939	1063	-8483	-12086	-5813	-14969	11115	-16316	-9281	-5786
-1810	1164	15861	10324	-15075	-7387	-7946	703	-11528	9272	-3094	5166	-11905	-4533	-1207	19462
14768	18062	12212	6147	-9216	4558	-5299	5365	768	1546	12028	-1862	-13200	-6076	-17177	19547
-14797	10588	17419	11512	11785	19051	9173	-5884	900	19235	5486	-13885	723	-3815	11747	6121
13253	7447	-9937	-5662	5677	-7802	-15356	-17211	1746	-11208	-717	18930	-3472	-3960	1928	15303
8957	16473	-10166	-14363	-16689	-3103	9336	10125	-18416	-13741	8325	11050	-7485	16548	8108	-12922
-17661	-3542	-5129	-49	-14545	9638	-6248	-13502	6409	-915	-2447	6421	-7123	-5339	363	-13653
