14515	-13214	-18121	19609	-18345	-9491	18591	-5715	-14715	18067	-2787	16127	-5640
-16323	-10451	7132	-14312	3502	1427	-9926	10749	8403	17193	-201	-15459	10359
-1447	14716	-9341	15209	-2610	19743	19429	16018	-5437	5857	-19716	2680	4551
19236	-12428	5058	-10861	-7114	-145	8486	-6498	-17312	5041	6489	-13819	3849
-5593	3392	-11961	-5409	-18472	5903	14768	16476	17137	-6106	-11486	-7877	-1254
16696	19879	-18621	-11048	17770	-7380	-8591	-9769	11284	-16625	8516	12309	19881
-9270	16505	-13999	-6821	5598	16572	-13500	-3113	-10374	16350	-11490	16139	-6338
-13492	-5952	-6141	17374	6123	4668	-12223	16129	4082	14625	-1591	7725	18740
180	13850	9370	244	11813	-18248	-18479	-916	1793	137	-17417	6019	-15526
-14593	-18905	-6393	-18515	-7622	-11362	12406	6294	-1345	7350	8702	-16759	2564
8554	8527	-722	19398	-15064	273	4421	7648	14159	-421	12823	7954	1543
3831	-7107	16101	-12182	-16623	18104	17425	13193	-10063	484	6887	10438	18098
-5380	-18396	19957	-1941	3224	19507	15080	13306	-4033	-10346	13045	-3047	19753
-7837	-2754	-5667	-10039	-4461	13450	-4874	-4007	6947	8037	3689	11806	18091
5754	-16196	-16226	-14152	3048	-14695	16414	7930	1482	-4146	18063	-1979	19349
17305	7673	-14457	-1160	-11745	8241	-12484	18132	2665	9963	-18269	15507	18841
-19908	1541	13766	17585	-112	5284	-7287	-6745	12125	-5659	-7102	13416	-13457
3939	-3965	-18526	19145	4708	-11163	16914	6259	7259	15031	-2713	19014	4061
-6534	-14591	18053	5137	19240	-3596	17466	2791	-3235	9380	-6437	-10130	-18459
-14818	-18574	-8326	9649	-70	-15453	12475	3062	15361	13139	18344	5766	5625
-16306	923	-8699	13251	4058	-12133	17553	4548	12458	12540	11547	15001	5976
-15627	15884	-18452	-4350	-2272	-16103	-13796	8354	130	-15381	9244	6695	-319
6876	-13552	6130	11628	-16533	-7003	18601	-6649	19608	19434	19540	10453	19040
-5596	-15717	-3165	-4492	15718	-11610	-9292	18660	17668	-18399	12860	-5393	-19908
-18027	-18512	-12397	-764	16373	-5387	-6742	-6125	8032	7485	-10892	16451	284
18705	18792	5885	-4628	-18862	4995	-19777	-13777	9168	-10606	-5846	-19591	1459
-9839	-19736	4916	-9214	-18618	-19116	1512	-15930	-6606	-4853	14371	14425	-15315
-10329	7231	841	-12469	9747	-143	19951	14836	11803	18297	10493	-12861	6967
-37	-12330	-13877	-19508	-14531	-13566	7699	-19567	-16011	-3754	7191	-3615	10198
-19355	14091	6734	1881	-13888	-2718	-16238	15929	309	-3372	8009	-10933	9813
13552	-12924	-894	6187	-5549	9732	-1272	-11639	10612	19635	-7116	9043	-7464
10679	14686	-10155	17104	-9193	-3834	13476	-12113	11292	-17211	-16108	15165	-8508
-10473	-15221	13923	-3878	-5676	9264	12984	-4790	-9923	-16467	-6406	2975	-18989
-3110	-4591	-1626	1083	-11194	-14657	2158	-13549	11602	17502	-12343	14627	14132
4369	-2847	-17220	13723	7138	-2785	4506	-1949	-2971	-15334	-14458	-16225	11927
7784	18256	9194	-13522	-3588	17055	14294	-5242	-12526	-5988	-14240	-2013	-17015
1359	13764	-643	10995	-12588	14075	4908	-6373	12273	-15212	12237	13594	-7806
-7501	-1895	14645	16471	6944	-16113	8656	9014	13062	4865	877	9883	-19239
18454	4349	-12099	10912	17047	-5276	-14130	2693	-15951	-497	4213	-689	14400
-15695	7654	14761	-1110	18597	-17308	-16373	-14368	7907	19148	186	-9850	5301
-13213	17807	7233	-3225	-242	-4045	-1805	-13623	15001	-9402	-5700	15114	11977
-3119	2821	-973	-1310	-15341	-5044	-14023	-4933	10913	10535	-14366	-9978	1211
18976	5496	-8154	7020	-18887	14555	-4628	-15370	-16488	5779	6462	14515	3502
3065	-11663	-14636	-8547	-13745	18422	-4843	4818	19653	17925	-578	11943	-17656
6250	13821	3207	15891	17969	2046	-9041	8712	-11789	-5493	16840	-8381	8809
3144	-19771	8720	3458	-14118	-1758	164	-11453	-11862	2212	9412	-5910	-11642
-136	17174	-1607	9710	1532	-17377	-16216	-8000	8537	-7915	-2449	8806	2420
3328	1335	3830	-7109	-11401	-7370	-10945	-13075	10042	-16212	-12501	14485	9162
-1302	8381	-622	474	-17243	7647	7257	17208	-8317	6480	5897	-17008	-16901
-5741	6285	-16351	14983	-7702	-14290	-15002	-2782	-5404	6717	4259	325	15554
5350	-14011	14329	-7754	-14079	-13480	10952	4515	-3719	-14684	-19665	-15774	1755
18940	-13344	17325	11376	-366	-1853	-17846	8621	6051	15667	10897	-15117	5565
18079	-15223	5952	11588	18450	-8649	4660	-595	4325	16910	-19907	465	13054
9581	-18401	-19249	18703	-7243	-1296	-3114	-8746	-14822	-6751	5933	-10767	5334
15331	-5348	-19225	10586	-19744	-9041	-2605	-5249	-7929	-2007	4111	-11115	-2113
